Feature,Importance
0_click_y_mean,75
49_num_scrolls,71
2_click_y_mean,67
1_num_scrolls,63
35_num_scrolls,62
0_num_scrolls,61
47_num_scrolls,59
7_num_scrolls,58
41_num_scrolls,58
3_num_scrolls,58
11_num_scrolls,56
44_num_scrolls,56
17_num_scrolls,56
4_click_y_mean,55
45_num_scrolls,55
43_num_scrolls,54
5_num_scrolls,53
9_num_scrolls,52
42_num_scrolls,52
39_num_scrolls,52
27_num_scrolls,52
33_num_scrolls,52
31_num_scrolls,51
13_num_scrolls,50
40_click_y_mean,48
37_num_scrolls,48
25_num_scrolls,48
12_click_y_mean,48
24_num_scrolls,47
14_click_y_mean,47
18_click_y_mean,47
46_num_scrolls,46
20_click_y_mean,46
15_num_scrolls,46
38_num_scrolls,45
26_num_scrolls,45
48_num_scrolls,45
8_click_y_mean,45
30_click_y_mean,44
28_num_scrolls,44
34_click_y_mean,44
23_num_scrolls,44
18_num_scrolls,43
10_click_y_mean,43
16_num_scrolls,43
34_num_scrolls,42
44_click_y_mean,42
5_click_y_mean,42
30_num_scrolls,42
46_click_y_mean,42
48_click_y_mean,42
38_click_y_mean,41
32_click_y_mean,41
36_num_scrolls,41
2_num_scrolls,41
22_num_scrolls,41
1_click_y_mean,40
6_num_scrolls,40
16_click_y_mean,40
36_click_y_mean,40
4_num_scrolls,39
19_num_scrolls,39
49_click_y_mean,39
29_num_scrolls,39
21_num_scrolls,39
3_click_y_mean,38
49_total_time,37
40_num_scrolls,37
14_num_scrolls,37
10_num_scrolls,37
32_num_scrolls,37
11_click_y_mean,36
7_click_y_mean,36
20_num_scrolls,36
6_click_y_mean,35
9_click_y_mean,35
0_num_moves,35
17_click_y_mean,35
47_click_y_mean,35
13_click_y_mean,34
26_click_y_mean,33
23_click_y_mean,33
0_click_x_mean,33
45_click_y_mean,33
24_click_y_mean,33
47_velocity_y_mean,32
21_click_y_mean,32
22_click_y_mean,32
43_click_y_mean,32
12_num_scrolls,32
0_total_time,31
15_click_y_mean,31
42_click_y_mean,31
25_click_y_mean,30
48_velocity_x_mean,30
8_num_scrolls,30
28_click_y_mean,30
45_total_time,29
19_click_y_mean,29
41_click_y_mean,29
47_total_time,29
0_velocity_min,29
0_velocity_x_mean,29
7_velocity_min,29
1_velocity_min,29
0_angular_velocity_mean,29
4_velocity_x_mean,28
35_click_y_mean,28
49_num_moves,28
34_angular_velocity_mean,28
32_velocity_x_mean,28
3_total_time,27
19_total_time,27
39_click_y_mean,26
35_velocity_y_mean,26
29_click_y_mean,26
42_velocity_x_mean,26
2_total_time,26
36_velocity_x_mean,25
46_velocity_x_mean,25
2_angular_velocity_mean,25
46_angular_velocity_mean,25
7_total_time,25
2_velocity_x_mean,25
33_click_y_mean,25
1_total_time,25
37_total_time,25
39_total_time,24
3_velocity_min,24
44_velocity_x_mean,24
44_angular_velocity_mean,24
30_velocity_x_mean,24
31_velocity_y_mean,24
34_velocity_x_mean,24
40_velocity_x_mean,24
48_click_x_mean,24
10_click_x_mean,24
49_velocity_y_mean,24
49_velocity_min,24
9_total_time,23
40_pause_time,23
27_click_y_mean,23
8_click_x_mean,23
35_total_time,23
47_velocity_min,22
41_total_time,22
10_velocity_x_mean,22
6_click_x_mean,22
48_total_time,22
45_velocity_y_mean,22
46_click_x_mean,22
0_velocity_y_mean,22
39_velocity_y_mean,22
38_velocity_x_mean,22
18_pause_time,22
5_velocity_x_mean,21
34_pause_time,21
14_pause_time,21
37_click_y_mean,21
48_angular_velocity_mean,21
5_velocity_min,21
49_velocity_x_mean,21
34_velocity_min,21
18_angular_velocity_mean,21
4_pause_time,21
30_pause_time,21
35_jerk_mean,21
0_movement_duration,21
16_velocity_x_mean,20
9_velocity_min,20
2_movement_duration,20
35_num_moves,20
13_velocity_min,20
28_velocity_x_mean,20
40_velocity_min,20
24_angular_velocity_mean,20
18_velocity_x_mean,20
42_velocity_min,20
0_angular_velocity_sd,20
14_angular_velocity_mean,20
11_total_time,20
5_total_time,20
43_velocity_min,20
4_velocity_y_mean,20
33_num_moves,20
4_total_time,19
43_jerk_mean,19
38_pause_time,19
13_angular_velocity_sd,19
47_velocity_x_mean,19
3_velocity_y_mean,19
12_pause_time,19
8_pause_time,19
16_pause_time,19
31_click_y_mean,19
1_acceleration_mean,19
31_total_time,19
6_pause_time,19
15_velocity_min,19
27_velocity_y_mean,19
39_velocity_min,19
20_pause_time,19
48_angular_velocity_sd,18
40_num_moves,18
14_velocity_x_mean,18
2_velocity_min,18
10_velocity_min,18
