num_events,num_moves,num_clicks,num_scrolls,movement_distance,velocity_mean,velocity_max,velocity_min,velocity_sd,velocity_x_mean,velocity_y_mean,acceleration_mean,acceleration_max,acceleration_min,acceleration_sd,jerk_mean,jerk_sd,angular_velocity_mean,angular_velocity_sd,movement_duration,total_time,pause_time,flips_x,flips_y,pause_count,hold_time_mean,hold_time_sd
3.0,0.0,0.0,3.0,0.0,,,,,,,,,,,,,,,0.0,0.03808093070983887,0.03808093070983887,0.0,0.0,0.0,,
1.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,
1.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,
1.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,
1.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,
14.0,14.0,0.0,0.0,0.2452303557179536,2.5406863616573596,4.694139334258051,0.16720500063784033,1.4972670717530188,2.378863019731341,0.8756488346879568,20.614975799305558,392.3504376305696,-214.16896547568885,152.97222537621337,-2972.6941557970354,33741.23331460602,3.8731510279107386,12.16408281150505,0.09577679634094238,0.09577679634094238,0.0,0.0,1.0,0.0,,
13.0,13.0,0.0,0.0,0.08581671725595898,0.9621157208472547,2.7647195920088516,0.0,0.9282963632812523,0.7409361425821485,0.5279031738109005,-30.548675774095024,50.951543136110686,-203.51811787151837,71.62713562255357,-6.571001301245042,16799.941675475628,18.938516212188247,84.05723393937235,0.08943438529968262,0.08943438529968262,0.0,2.0,2.0,0.0,,
13.0,13.0,0.0,0.0,0.17783471325389766,2.0228263403779625,5.9317512300245046,0.5501494241294792,1.527163954410226,-1.786210015617755,-0.6510531949303684,34.07431992704923,596.2348139555755,-411.6297337728453,252.01400154621092,-3997.712156465527,64648.032107331775,14.176989503941508,12.510058833256622,0.08948874473571777,0.08948874473571777,0.0,0.0,2.0,0.0,,
14.0,14.0,0.0,0.0,0.22788996563218894,2.3772585918977542,4.088138420117899,0.3484406394375449,1.1508844287518258,1.0654653718313607,-1.3704447635109085,43.90670682462686,543.3705156466939,-355.3291473050989,213.92740854390334,658.743177141847,55286.89090129191,25.759107693285404,17.335443250319145,0.09693312644958496,0.09693312644958496,0.0,2.0,0.0,0.0,,
13.0,13.0,0.0,0.0,0.356906164933631,3.9122818082293374,5.47915515871529,0.7699917029668328,1.2952970711105234,3.01134462516114,2.1909630285960904,-26.358057727362908,360.92562134619754,-634.8204723070644,277.2965834525255,244.2456239737141,68892.63600996688,11.903629277474776,7.253058751305546,0.0905768871307373,0.0905768871307373,0.0,0.0,0.0,0.0,,
13.0,13.0,0.0,0.0,0.10967977971040123,1.228596710083793,2.684809892020838,0.2748155191752173,0.7989521122188524,0.419154861687568,1.1516576746842524,-6.781512280945733,310.00458131650777,-277.0181773624023,162.26978494386768,-454.1449486317164,43261.64645951866,4.0178401226246585,9.383026511497677,0.09008240699768066,0.09008240699768066,0.0,0.0,0.0,0.0,,
14.0,14.0,0.0,0.0,0.04861866079415331,0.5090240955985943,1.1476522124412782,0.11490324609648545,0.30496062827526205,-0.21802114055713295,0.41615936511526225,9.155146742077573,78.66301304132915,-40.82157708638237,32.43253814599426,868.1546893450599,6821.873799536185,10.502535939722025,17.955854647463664,0.0967557430267334,0.0967557430267334,0.0,4.0,0.0,0.0,,
13.0,13.0,0.0,0.0,0.1492381222703895,1.665311983642214,3.0544780856936407,0.4469404804528312,0.5931794935315867,-0.8527816158696697,1.4135371593790014,13.669942672021707,271.98081277981265,-205.16647765746714,131.1056572745906,-2310.7307584806294,29026.990694535223,-5.868074172717794,8.890911462621098,0.09057879447937012,0.09057879447937012,0.0,0.0,0.0,0.0,,
